transaction_id,customer_id,transaction_date,amount,product_category,payment_method,status
1001,1,2023-11-01,125.50,Electronics,Credit Card,Completed
1002,2,2023-11-02,45.99,Clothing,PayPal,Completed
1003,1,2023-11-03,89.99,Books,Debit Card,Completed
1004,3,2023-11-04,250.00,Electronics,Credit Card,Completed
1005,4,2023-11-05,32.50,Food,Cash,Completed
1006,2,2023-11-06,156.75,Electronics,Credit Card,Failed
1007,5,2023-11-07,78.25,Clothing,PayPal,Completed
1008,6,2023-11-08,415.00,Electronics,Credit Card,Completed
1009,7,2023-11-09,23.99,Food,Debit Card,Completed
1010,8,2023-11-10,189.50,Books,Credit Card,Completed
1011,9,2023-11-11,67.80,Clothing,PayPal,Completed
1012,10,2023-11-12,298.00,Electronics,Credit Card,Completed
1013,1,2023-11-13,56.25,Food,Cash,Completed
1014,3,2023-11-14,145.99,Books,Debit Card,Completed
1015,5,2023-11-15,89.90,Clothing,PayPal,Completed
